name,average_life,contracts,deaths,downs,games_played,kdr,kills,score,spg,spm,time_played,top10,top25,top5,weekly_damage,weekly_damage_pg,weekly_damage_pm,weekly_headshotpct,weekly_kdr,weekly_kills,weekly_kpg,weekly_matches_played,weekly_spg,weekly_spm,wins,wl_ratio,classification,hacker
wildpants#5976931,2643.3333333333335,1,3,37,6,46.67,140,68250,11375.0,517.05,7930,5,6,5,None,None,None,None,None,None,None,None,None,None,4,66.67,h,yes
MiniNinja#8355333,491.2142857142857,7,14,149,11,9.71,136,70550,6413.64,618.86,6877,1,3,0,None,None,None,None,None,None,None,None,None,None,0,0.0,h,yes
TIMBOISBACK#8596518,1425.0,2,1,112,1,101.0,101,43475,43475.0,1890.22,1425,1,1,1,None,None,None,None,None,None,None,None,None,None,1,100.0,h,yes
TIMBOISBACK#4389552,1844.625,18,8,331,8,40.38,323,186300,23287.5,760.41,14757,11,11,10,None,None,None,None,None,None,None,None,None,None,9,112.5,h,yes
TIMBOISBACK#2088494,1949.0,0,1,37,2,30.0,30,18825,9412.5,588.28,1949,2,2,2,None,None,None,None,None,None,None,None,None,None,2,100.0,h,yes
Tiddles#6179559,765.5,0,2,20,1,9.0,18,10150,10150.0,406.0,1531,1,1,1,None,None,None,None,None,None,None,None,None,None,0,0.0,h,yes
JumpyWeeWee#9449312,674.8461538461538,30,26,347,11,12.04,313,204175,18561.36,699.23,17546,11,12,9,None,None,None,None,None,None,None,None,None,None,5,45.45,h,yes
PlayWithAHacker#7480088,5264.0,5,1,164,4,143.0,143,70750,17687.5,813.22,5264,4,4,4,None,None,None,None,None,None,None,None,None,None,4,100.0,h,yes
robotninja#5921926,791.8333333333334,6,12,145,9,10.17,122,90150,10016.67,570.57,9502,4,8,4,None,None,None,None,None,None,None,None,None,None,3,33.33,h,yes
Popeyethesailor#7517625,1243.0,21,8,345,7,37.75,302,176875,25267.86,1071.97,9944,6,7,6,None,None,None,None,None,None,None,None,None,None,6,85.71,h,yes
miniswisher#8630766,470.7894736842105,12,19,225,9,9.32,177,97700,10855.56,655.7,8945,5,7,3,None,None,None,None,None,None,None,None,None,None,2,22.22,h,yes
gswcvcap3324#9376651,937.8,21,20,560,15,23.45,469,290975,19398.33,932.61,18756,11,13,11,None,None,None,None,None,None,None,None,None,None,11,73.33,h,yes
